company,domain,lead_name,role,source_url,segment,current_stack,suspected_pain,privacy_sensitivity_score,estimated_llm_spend,score,relevant_quote,context_link,approved_message,status,sent_at,reply,opt_out,next_action,api_key_created,first_request_sent,monthly_tokens,monthly_spend
"OpenPlaud","github.com","openplaud/openplaud","OSS maintainer/team","https://github.com/openplaud/openplaud","transcription app (privacy-sensitive)","OpenAI-compatible multi-provider incl. OpenRouter","Self-hosted transcription + multiple providers: needs a safer default path for sensitive recordings/prompts","65","","65","We never log your prompt or the output.","https://trustedrouter.com/security","(see approval packet)","proposed","","","false","Approve GitHub issue/discussion comment draft (only if a relevant thread exists)","","","",""
"OpenClaw","github.com","openclaw/openclaw","OSS maintainer/team","https://github.com/openclaw/openclaw/issues/51056","agent/coding devtools","OpenRouter provider (OpenAI-compatible)","OpenRouter auth/config edge cases; teams may want a verifiable non-logging router for sensitive prompts","60","","60","TrustedRouter is one API, all the LLMs, provably private.","https://trustedrouter.com/compare/openrouter","(see approval packet)","proposed","","","false","Approve GitHub issue comment reply on #51056 (only if it adds value)","","","",""
"TensaKulaLabs","github.com","tensakulabs/openclaw-mem0","OSS maintainer/team","https://github.com/tensakulabs/openclaw-mem0","agent memory plugin (devtools)","Mem0 + OpenRouter baseURL examples","Memory plugins may capture sensitive context; want a router option that’s designed for sensitive prompts","60","","60","Customers can verify that the code that they're reaching out to and talking to is in fact what they're seeing in the open source repo and that stated commit hash.","https://trustedrouter.com/security","(see approval packet)","proposed","","","false","Approve GitHub issue/discussion comment draft (only if a relevant thread exists)","","","",""
"AnyForge","anyforge.ai","AnyForge Control","Company/team","https://anyforge.ai/","agent governance / security","Multi-provider proxy incl. OpenRouter + audit chain","Regulated/air-gapped/governed agent stacks need sensitive-prompt routing without trusting a black-box router","75","","75","We never log your prompt or the output.","https://trustedrouter.com/security","(see approval packet)","proposed","","","false","Approve LinkedIn/X DM draft to a listed AnyForge contact (manual)","","","",""
"Cognee","docs.cognee.ai","Cognee docs","Company/team","https://docs.cognee.ai/setup-configuration/llm-providers","knowledge base / RAG infra","LiteLLM custom providers incl. OpenRouter endpoint","RAG/knowledge apps often include sensitive docs; want a verifiable non-logging router option","75","","75","The most common feedback I hear from engineers is that they don't use OpenRouter at all because of their security and privacy concerns, especially for sensitive prompts, or they use it only for low-sensitivity prompts.","https://trustedrouter.com/compare/openrouter","(see approval packet)","proposed","","","false","Approve outreach (issue/PR comment) to add TrustedRouter as an alternative gateway in docs (manual)","","","",""
"assistant-ui","assistant-ui.com","assistant-ui docs","OSS maintainer/team","https://www.assistant-ui.com/docs/integrations/gateways","AI UI framework / devtools","Gateway docs include OpenRouter + LiteLLM","Gateway users want multi-model + safer routing for sensitive prompts","60","","60","TrustedRouter is one API, all the LLMs, provably private.","https://trustedrouter.com/compare/openrouter","(see approval packet)","proposed","","","false","Approve GitHub issue/discussion comment draft (only if a relevant thread exists)","","","",""
"CodexBar","github.com","steipete/CodexBar","OSS maintainer/team","https://github.com/steipete/CodexBar/blob/main/docs/openrouter.md","desktop devtools","OpenRouter provider docs","Users want OpenRouter model breadth but safer path for sensitive prompts","60","","60","We never log your prompt or the output.","https://trustedrouter.com/security","(see approval packet)","proposed","","","false","Approve GitHub issue/discussion comment draft (only if a relevant thread exists)","","","",""
"SynergOps","github.com","SynergOps/openrouter.ai","OSS maintainer/team","https://github.com/SynergOps/openrouter.ai","CLI devtools","OpenRouter terminal CLI","CLI users may want a drop-in router for sensitive prompts beyond OpenRouter","60","","60","This is all the benefits of OpenRouter with none of the risks.","https://trustedrouter.com/compare/openrouter","(see approval packet)","proposed","","","false","Approve GitHub issue/discussion comment draft (only if a relevant thread exists)","","","",""
"verd","pypi.org","verd (PyPI)","Maintainer/team","https://pypi.org/project/verd/0.1.2/","CLI devtools","OpenAI_BASE_URL supports OpenRouter + LiteLLM proxy","CLI/tooling users want easy base_url swap plus safer routing for sensitive prompts","60","","60","It is as simple as changing one URL, so one line of code.","https://trustedrouter.com/docs/migrate-from-openrouter","(see approval packet)","proposed","","","false","Approve outreach to maintainer (GitHub issue if repo linked) to add TrustedRouter as an example endpoint (manual)","","","",""
"cassetteai","pypi.org","cassetteai (PyPI)","Maintainer/team","https://pypi.org/project/cassetteai/","test tooling / devtools","Provider config mentions OpenRouter + LiteLLM","Test/record flows often include sensitive fixtures; want a verifiable non-logging router option","60","","60","Most importantly it's all open source software.","https://trustedrouter.com/security","(see approval packet)","proposed","","","false","Approve outreach to maintainer (GitHub issue if repo linked) to add TrustedRouter as an OpenAI-compatible provider option (manual)","","","",""
